Tarih,Sembol,Fiyat,Hacim,Değişim (%)
2026-02-23 14:35:00,GOOGL,312.52,235585,-0.09
2026-02-23 14:40:00,GOOGL,311.4,326225,-0.36
2026-02-23 14:45:00,GOOGL,311.51,6346543,0.04
2026-02-23 14:50:00,GOOGL,310.73,210178,-0.25
2026-02-23 14:55:00,GOOGL,310.44,197322,-0.09
2026-02-23 15:00:00,GOOGL,310.32,227494,-0.04
2026-02-23 15:05:00,GOOGL,310.29,154858,-0.01
2026-02-23 15:10:00,GOOGL,310.68,215242,0.13
2026-02-23 15:15:00,GOOGL,310.74,232061,0.02
2026-02-23 15:20:00,GOOGL,311.18,6692167,0.14
2026-02-23 15:25:00,GOOGL,311.37,6720856,0.06
2026-02-23 15:30:00,GOOGL,311.61,183127,0.08
2026-02-23 15:35:00,GOOGL,311.37,145884,-0.08
2026-02-23 15:40:00,GOOGL,311.1,139684,-0.09
2026-02-23 15:45:00,GOOGL,310.96,192136,-0.05
2026-02-23 15:50:00,GOOGL,310.69,599128,-0.09
2026-02-23 15:55:00,GOOGL,310.79,106201,0.03
2026-02-23 09:35:00,TSLA,404.92,1098468,-0.35
2026-02-23 09:40:00,TSLA,402.94,1129069,-0.49
2026-02-23 09:45:00,TSLA,403.05,2726466,0.03
2026-02-23 09:50:00,TSLA,402.64,3557872,-0.1
2026-02-23 09:55:00,TSLA,402.78,3150730,0.03
2026-02-23 10:00:00,TSLA,402.64,3627337,-0.03
2026-02-23 10:05:00,TSLA,403.6,3854496,0.24
2026-02-23 10:10:00,TSLA,404.14,659106,0.14
2026-02-23 10:15:00,TSLA,404.2,4101496,0.01
2026-02-23 10:20:00,TSLA,403.69,666376,-0.13
2026-02-23 10:25:00,TSLA,403.38,8229621,-0.08
2026-02-23 10:30:00,TSLA,402.98,4559106,-0.1
2026-02-23 10:35:00,TSLA,402.68,536136,-0.07
2026-02-23 10:40:00,TSLA,402.37,4771409,-0.08
2026-02-23 10:45:00,TSLA,402.46,430461,0.02
2026-02-23 10:50:00,TSLA,401.13,9941286,-0.33
2026-02-23 10:55:00,TSLA,400.91,5539863,-0.05
2026-02-23 11:00:00,TSLA,400.36,5774438,-0.14
2026-02-23 11:05:00,TSLA,398.93,1157235,-0.36
2026-02-23 11:10:00,TSLA,398.18,921962,-0.19
2026-02-23 11:15:00,TSLA,398.23,843284,0.01
2026-02-23 11:20:00,TSLA,397.11,7145454,-0.28
2026-02-23 11:25:00,TSLA,397.97,7351906,0.22
2026-02-23 11:30:00,TSLA,398.52,21559616,0.14
2026-02-23 11:35:00,TSLA,398.37,7570057,-0.04
2026-02-23 11:40:00,TSLA,398.91,14935749,0.13
2026-02-23 11:45:00,TSLA,398.64,514670,-0.07
2026-02-23 11:50:00,TSLA,398.8,8127896,0.04
2026-02-23 11:55:00,TSLA,398.36,299261,-0.11
2026-02-23 12:00:00,TSLA,398.38,8132550,0.01
2026-02-23 12:05:00,TSLA,398.2,8245301,-0.04
2026-02-23 12:10:00,TSLA,398.21,8211255,0.0
2026-02-23 12:15:00,TSLA,398.53,332410,0.08
2026-02-23 12:20:00,TSLA,398.27,260371,-0.07
2026-02-23 12:25:00,TSLA,397.42,378539,-0.21
2026-02-23 12:30:00,TSLA,396.39,621050,-0.26
2026-02-23 12:35:00,TSLA,394.8,958541,-0.4
2026-02-23 12:40:00,TSLA,395.31,745199,0.13
2026-02-23 12:45:00,TSLA,394.48,562349,-0.21
2026-02-23 12:50:00,TSLA,395.21,679211,0.19
2026-02-23 12:55:00,TSLA,395.0,10199374,-0.05
2026-02-23 13:00:00,TSLA,396.1,592971,0.28
2026-02-23 13:05:00,TSLA,396.55,403742,0.11
2026-02-23 13:10:00,TSLA,396.6,10646051,0.01
2026-02-23 13:15:00,TSLA,395.59,371406,-0.25
2026-02-23 13:20:00,TSLA,396.65,10995984,0.27
2026-02-23 13:25:00,TSLA,396.04,11021468,-0.15
